Group,Stadium,Attendance,PctAttendance,Date_Format_CET,Team_1,Team_2,DatePlayed,,,
A,Luzhniki Stadium,"78,011",100%,14/06/2018 17:00,Russia,Saudia Arabia,6/14/18 5:00 PM,,,
A,Ekaterinburg Arena,"27,015",81.70%,15/06/2018 14:00,Egypt,Uruguay,6/15/18 2:00 PM,,,
A,Saint Petersburg Stadium,"64,468",100%,19/06/2018 20:00,Russia,Egypt,6/19/18 8:00 PM,,,
A,Rostov-on-Don Stadium,"42,678",98.20%,20/06/2018 17:00,Uruguay,Saudia Arabia,6/20/18 5:00 PM,,,
A,Samara Arena,"41,970",100%,25/06/2018 16:00,Uruguay,Russia,6/25/18 4:00 PM,,,
A,Volgograd Arena,"36,823",84.20%,25/06/2018 16:00,Saudia Arabia,Egypt,6/25/18 4:00 PM,,,
B,Saint Petersburg Stadium,"62,548",97%,15/06/2018 17:00,Morroco,Iran,6/15/18 5:00 PM,,,
B,Fisht Stadium,"43,866",99%,15/06/2018 20:00,Portugal,Spain,6/15/18 8:00 PM,,,
B,Luzhniki Stadium,"78,011",100%,20/06/2018 14:00,Portugal,Morroco,6/20/18 2:00 PM,,,
B,Kazan Arena,"42,718",99.60%,20/06/2018 20:00,Iran,Spain,6/20/18 8:00 PM,,,
B,Mordovia Arena,"41,685",100%,25/06/2018 20:00,Iran,Portugal,6/25/18 8:00 PM,,,
B,Kaliningrad Stadium,"33,973",100%,25/06/2018 20:00,Spain,Morroco,6/25/18 8:00 PM,,,
C,Kazan Arena,"41,279",96.30%,16/06/2018 12:00,France,Australia,6/16/18 12:00 PM,,,
C,Mordovia Arena,"40,502",97.20%,16/06/2018 18:00,Peru,Denmark,6/16/18 6:00 PM,,,
C,Samara Arena,"40,727",97%,21/06/2018 14:00,Denmark,Australia,6/21/18 2:00 PM,,,
C,Ekaterinburg Arena,"32,789",99.20%,21/06/2018 17:00,France,Peru,6/21/18 5:00 PM,,,
C,Luzhniki Stadium,"78,011",100%,26/06/2018 16:00,Denmark,France,6/26/18 4:00 PM,,,
C,Fisht Stadium,"44,073",99.50%,26/06/2018 16:00,Australia,Peru,6/26/18 4:00 PM,,,
D,Spartak Stadium,"44,190",100%,16/06/2018 15:00,Argentina,Iceland,6/16/18 3:00 PM,,,
D,Kaliningrad Stadium,"31,136",91.60%,16/06/2018 21:00,Croatia,Nigeria,6/16/18 9:00 PM,,,
D,Nizhny Novgorod Stadium,"43,319",100%,21/06/2018 20:00,Argentina,Croatia,6/21/18 8:00 PM,,,
D,Volgograd Arena,"40,904",93.60%,22/06/2018 17:00,Nigeria,Iceland,6/22/18 5:00 PM,,,
D,Saint Petersburg Stadium,"64,468",100%,26/06/2018 20:00,Nigeria,Argentina,6/26/18 8:00 PM,,,
D,Rostov-on-Don Stadium,"43,472",100%,26/06/2018 20:00,Iceland,Croatia,6/26/18 8:00 PM,,,
E,Samara Arena,"41,432",98.70%,17/06/2018 14:00,Costa Rica,Serbia,6/17/18 2:00 PM,,,
E,Rostov-on-Don Stadium,"43,109",99.20%,17/06/2018 20:00,Brazil,Switzerland,6/17/18 8:00 PM,,,
E,Saint Petersburg Stadium,"64,468",100.00%,22/06/2018 14:00,Brazil,Costa Rica,6/22/18 2:00 PM,,,
